episode,epsilon,terminal_reward,cum_discounted_rewards,episode_tot_rewards,avg_reward,avg_delta_reward,gamma,alpha,episode_time,accumulated_time,num_exploitation,num_exploration,done?,steps_before_done,state_size,decay_rate,decay_type,decay
1300,0.13617729340973853,-1.0,-1.5907854729605968,-1.6,-0.06153846153846154,0.0,0.999,0.8,0.0006148815155029297,4.811879634857178,17,9,True,25,900,0.999,1,non-linear - epsilon: 0.5
1400,0.12321214569233088,0.0,-2.3010383605735902,-2.9000000000000012,-0.0058000000000000005,0.0,0.999,0.8,0.010313034057617188,5.555466890335083,446,54,False,499,900,0.999,1,non-linear - epsilon: 0.5
1500,0.11148138185145114,-1.0,-2.8701307311799127,-3.3000000000000007,-0.008967391304347826,0.0,0.999,0.8,0.007885932922363281,6.256632566452026,332,36,True,367,900,0.999,1,non-linear - epsilon: 0.5
1600,0.10086747884857773,-1.0,-2.264018442071401,-2.4000000000000004,-0.011538461538461537,0.0,0.999,0.8,0.004712343215942383,7.181301593780518,185,23,True,207,900,0.999,1,non-linear - epsilon: 0.5
1700,0.09126410276135123,0.0,-1.8797636040911478,-2.400000000000001,-0.0048000000000000004,0.0,0.999,0.8,0.010242938995361328,8.024974584579468,460,40,False,499,900,0.999,1,non-linear - epsilon: 0.5
1800,0.0825750434918492,0.0,-1.3051321899568986,-1.7000000000000004,-0.0034000000000000002,0.0,0.999,0.8,0.009865999221801758,8.891558408737183,473,27,False,499,900,0.999,1,non-linear - epsilon: 0.5
1900,0.07471325089899807,0.0,-1.671398072900287,-2.1000000000000005,-0.004200000000000001,0.0,0.999,0.8,0.013367891311645508,9.771475553512573,456,44,False,499,900,0.999,1,non-linear - epsilon: 0.5
2000,0.0675999626987497,0.0,-1.2291238866140262,-1.6000000000000003,-0.0032,0.0,0.999,0.8,0.011336326599121094,10.731325626373291,467,33,False,499,900,0.999,1,non-linear - epsilon: 0.5
2100,0.06116391539500838,0.0,-1.4314060541031266,-1.8000000000000005,-0.0036,0.0,0.999,0.8,0.010894775390625,11.72047758102417,476,24,False,499,900,0.999,1,non-linear - epsilon: 0.5
2200,0.05534063033613089,0.0,-0.8655299744071021,-1.0999999999999999,-0.0022,0.0,0.999,0.8,0.009905099868774414,12.725850105285645,478,22,False,499,900,0.999,1,non-linear - epsilon: 0.5
2300,0.05007176774445391,-1.0,-2.4919321785383515,-2.8000000000000007,-0.006100217864923748,0.0,0.999,0.8,0.009697198867797852,13.695396423339844,429,30,True,458,900,0.999,1,non-linear - epsilon: 0.5
2400,0.045304542247283426,0.0,-0.6528134978599248,-0.8999999999999999,-0.0018000000000000002,0.0,0.999,0.8,0.010152816772460938,14.643436431884766,477,23,False,499,900,0.999,1,non-linear - epsilon: 0.5
2500,0.040991194053923305,-0.1,-0.9006678289704739,-1.0999999999999999,-0.0022,0.0,0.999,0.8,0.009756803512573242,15.605396509170532,479,21,False,499,900,0.999,1,non-linear - epsilon: 0.5
2600,0.03708851048080394,0.0,-0.5736543066383923,-0.7,-0.0014,0.0,0.999,0.8,0.009914875030517578,16.642226934432983,483,17,False,499,900,0.999,1,non-linear - epsilon: 0.5
2700,0.03355739303117593,0.0,-0.7209667255460255,-0.8999999999999999,-0.0018000000000000002,0.0,0.999,0.8,0.011281013488769531,17.730571031570435,483,17,False,499,900,0.999,1,non-linear - epsilon: 0.5
2800,0.030362465692216303,0.0,-0.6769847299225761,-0.7999999999999999,-0.0016,0.0,0.999,0.8,0.010005950927734375,18.78852605819702,485,15,False,499,900,0.999,1,non-linear - epsilon: 0.5
