episode,epsilon,terminal_reward,cum_discounted_rewards,episode_tot_rewards,avg_reward,avg_delta_reward,gamma,alpha,episode_time,accumulated_time,num_exploitation,num_exploration,done?,steps_before_done,state_size,decay_rate,decay_type
69,0.466647229690647,0.0,0.0,0.0,0.0,0.0,0.98,0.8,6.008148193359375e-05,0.018451929092407227,1,1,True,1,16,0.999,1
70,0.46618058246095634,0.0,0.0,0.0,0.0,0.0,0.98,0.8,0.00027871131896972656,0.018730640411376953,2,7,True,8,16,0.999,1
71,0.4657144018784954,0.0,0.0,0.0,0.0,0.0,0.98,0.8,0.0003631114959716797,0.019093751907348633,9,5,True,13,16,0.999,1
72,0.4652486874766169,1.0,1.0,1.0,0.05263157894736842,0.05263157894736842,0.98,0.8,0.0005259513854980469,0.01961970329284668,10,9,True,18,16,0.999,1
73,0.4647834387891403,0.0,0.0,0.0,0.0,0.0,0.98,0.8,0.00015878677368164062,0.01977849006652832,1,4,True,4,16,0.999,1
74,0.46431865535035116,0.0,0.0,0.0,0.0,0.0,0.98,0.8,0.00012636184692382812,0.01990485191345215,4,1,True,4,16,0.999,1
75,0.4638543366950008,0.0,0.0,0.0,0.0,0.0,0.98,0.8,0.0006549358367919922,0.02055978775024414,14,9,True,22,16,0.999,1
76,0.4633904823583058,0.0,0.0,0.0,0.0,0.0,0.98,0.8,9.489059448242188e-05,0.020654678344726562,1,2,True,2,16,0.999,1
77,0.4629270918759475,0.0,0.0,0.0,0.0,0.0,0.98,0.8,0.0004048347473144531,0.021059513092041016,14,3,True,16,16,0.999,1
78,0.46246416478407154,0.0,0.0,0.0,0.0,0.0,0.98,0.8,5.984306335449219e-05,0.021119356155395508,1,1,True,1,16,0.999,1
79,0.46200170061928747,0.0,0.0,0.0,0.0,0.0,0.98,0.8,0.0001709461212158203,0.021290302276611328,3,3,True,5,16,0.999,1
80,0.4615396989186682,0.0,0.0,0.0,0.0,0.0,0.98,0.8,0.0003879070281982422,0.02167820930480957,10,5,True,14,16,0.999,1
81,0.46107815921974954,0.0,0.0,0.0,0.0,0.0,0.98,0.8,9.393692016601562e-05,0.021772146224975586,1,2,True,2,16,0.999,1
82,0.4606170810605298,1.0,1.0,1.0,0.125,0.223,0.98,0.8,0.0002162456512451172,0.021988391876220703,5,3,True,7,16,0.999,1
