episode,V_average,V_sum,time,epsilon
78,11.459815398192731,34.37944619457819,0.2520272731781006,0.11158214634441666
79,11.470263277091192,34.410789831273576,0.2551760673522949,0.11142378342247028
80,11.485075959808844,34.45522787942653,0.258284330368042,0.11126785274008932
81,11.502723632384907,34.50817089715472,0.26139020919799805,0.1111142866360556
82,11.529204114586534,34.5876123437596,0.26461219787597656,0.11096302014754544
83,11.540047372471228,34.620142117413685,0.2676820755004883,0.11081399087085797
84,11.558094416060994,34.67428324818298,0.2707381248474121,0.11066713883092394
85,11.565558803026766,34.6966764090803,0.27422308921813965,0.11052240635894328
86,11.576942377461423,34.73082713238427,0.27765917778015137,0.1103797379775544
87,11.60701694765685,34.82105084297055,0.2810492515563965,0.11023908029299156
88,11.61193302641207,34.83579907923621,0.2841660976409912,0.11010038189372695
