episode,V_average,V_sum,time,epsilon,decay
29,39.61346867184892,118.84040601554676,0.12210488319396973,0.671009999999971,linear - epsilon: 0.7
30,40.098880626953296,120.29664188085988,0.12576889991760254,0.67000999999997,linear - epsilon: 0.7
31,40.65140170283429,121.95420510850288,0.12943053245544434,0.669009999999969,linear - epsilon: 0.7
32,41.24425522387149,123.73276567161447,0.13285446166992188,0.668009999999968,linear - epsilon: 0.7
33,41.87323401298713,125.6197020389614,0.1368718147277832,0.667009999999967,linear - epsilon: 0.7
34,42.695331170730064,128.08599351219019,0.14088773727416992,0.666009999999966,linear - epsilon: 0.7
35,43.29173471244076,129.87520413732227,0.14454364776611328,0.665009999999965,linear - epsilon: 0.7
36,43.7565971302003,131.2697913906009,0.14993739128112793,0.664009999999964,linear - epsilon: 0.7
37,44.313949008990285,132.94184702697086,0.15420222282409668,0.663009999999963,linear - epsilon: 0.7
38,44.82114188023204,134.46342564069613,0.1602332592010498,0.662009999999962,linear - epsilon: 0.7
39,45.35059439452383,136.0517831835715,0.16447854042053223,0.661009999999961,linear - epsilon: 0.7
40,45.82240499959567,137.467214998787,0.16855239868164062,0.66000999999996,linear - epsilon: 0.7
41,46.374655110210085,139.12396533063026,0.1725764274597168,0.659009999999959,linear - epsilon: 0.7
42,46.82541212115584,140.47623636346754,0.17626237869262695,0.658009999999958,linear - epsilon: 0.7
43,47.25856442385804,141.7756932715741,0.17979836463928223,0.657009999999957,linear - epsilon: 0.7
44,47.729450176959126,143.1883505308774,0.18387818336486816,0.656009999999956,linear - epsilon: 0.7
45,48.09232754419096,144.27698263257287,0.187330961227417,0.655009999999955,linear - epsilon: 0.7
46,48.39509140453304,145.18527421359912,0.19140911102294922,0.654009999999954,linear - epsilon: 0.7
47,48.76214213702056,146.28642641106168,0.19491076469421387,0.653009999999953,linear - epsilon: 0.7
48,49.22713480727358,147.68140442182073,0.19978666305541992,0.652009999999952,linear - epsilon: 0.7
49,49.57177698445588,148.71533095336764,0.2046957015991211,0.651009999999951,linear - epsilon: 0.7
50,50.03622908003561,150.10868724010683,0.2106151580810547,0.65000999999995,linear - epsilon: 0.7
51,50.45501199169072,151.36503597507215,0.21523714065551758,0.649009999999949,linear - epsilon: 0.7
52,50.8327803957012,152.4983411871036,0.21889615058898926,0.648009999999948,linear - epsilon: 0.7
53,51.21937724674464,153.65813174023393,0.22260117530822754,0.647009999999947,linear - epsilon: 0.7
54,51.66946860570962,155.00840581712885,0.22613120079040527,0.646009999999946,linear - epsilon: 0.7
55,51.91421754928127,155.7426526478438,0.22957921028137207,0.645009999999945,linear - epsilon: 0.7
56,52.13313786529198,156.39941359587593,0.23328208923339844,0.644009999999944,linear - epsilon: 0.7
57,52.45013994496359,157.35041983489077,0.23660802841186523,0.643009999999943,linear - epsilon: 0.7
58,52.66287890913811,157.98863672741433,0.2403421401977539,0.642009999999942,linear - epsilon: 0.7
59,52.877716965367995,158.63315089610398,0.24376988410949707,0.641009999999941,linear - epsilon: 0.7
60,53.179149573994124,159.53744872198237,0.24846196174621582,0.64000999999994,linear - epsilon: 0.7
61,53.5573483044516,160.6720449133548,0.25343894958496094,0.639009999999939,linear - epsilon: 0.7
62,53.82132435487896,161.4639730646369,0.2581441402435303,0.638009999999938,linear - epsilon: 0.7
63,54.23212405408822,162.69637216226465,0.26204800605773926,0.637009999999937,linear - epsilon: 0.7
64,54.52829163392732,163.58487490178194,0.26548004150390625,0.636009999999936,linear - epsilon: 0.7
65,54.764455975305374,164.29336792591613,0.2689070701599121,0.635009999999935,linear - epsilon: 0.7
66,55.071151067606536,165.2134532028196,0.27286791801452637,0.634009999999934,linear - epsilon: 0.7
