,Iteration,Fitness,Time,State,current_restart,Restarts
28,4096,1910.5949452443442,6.210486433,"[32 18 29  4 44 22 20 49 12 39 41 40 27  5 38 31 19 46  9  8 26 13 45 33
  7 17 28  2 30 37  1 25 11  3 15 42 47 48 10  6 35 24 23  0 14 21 43 36
 16 34]",1,1
29,8192,1854.3524848312588,8.994701030000002,"[32 18 29  4 44 22 20 49 12 39 41 40 27  5 38  3 11 46  1  8 26 13 45 33
  7 17 28  2 30 37  9 25 31 19 15 42 47 48 10  6 35 24 23  0 14 21 43 36
 16 34]",1,1
30,0,5972.79538574494,0.0002582780000039975,"[27 35 40 38  2  3 48 29 46 31 32 39 21 36 19 42 49 26 22 13 41 17 45 24
 23  4 33 14 30 10 28 44 34 18 20 25  6  7 47  1 16  0 15  5 11  9  8 12
 43 37]",0,5
31,1,5961.0223777047295,0.0007595050000048786,"[27 35 40 38  2  3 48 29 46 31 32 39 21 36 19 42 49 30 22 13 41 17 45 24
 23  4 33 14 26 10 28 44 34 18 20 25  6  7 47  1 16  0 15  5 11  9  8 12
 43 37]",0,5
32,2,5961.0223777047295,0.0011418429999991986,"[27 35 40 38  2  3 48 29 46 31 32 39 21 36 19 42 49 30 22 13 41 17 45 24
 23  4 33 14 26 10 28 44 34 18 20 25  6  7 47  1 16  0 15  5 11  9  8 12
 43 37]",0,5
33,4,5872.193057059968,0.0017898970000089776,"[27 35 40 38  2  3 48 29 46 31 32 39 21 36 19 42 49 30  0 13 41 17 45 24
 23  4 33 14 26 10 28 44 34 18 20 25  6  7 47  1 16 22 15  5 11  9  8 12
 43 37]",0,5
34,8,5647.998083432252,0.0029996800000020585,"[27 22 40 38  2  3 48 29 46 31  4 39 21 36 19 42 49 30  0 13 41 17 45 24
 23 32 33 14 26 10 28 44 34 18 20 25  6  7 47  1 16 35 15  5 11  9  8 12
 43 37]",0,5
35,16,5614.348743820946,0.004777314000008914,"[27 22 40 38  2  3 48 29 46 31  4 39 21 36 19 25 49 30  0 13 41 17 45 24
 23 32 10 14 26 33 28 44 34 18 20 42  6  7 47  1 16 35 15  5 11  9  8 12
 43 37]",0,5
36,32,5194.531275874575,0.008285299999997164,"[27 22 40 38  2  3 48 29 46 31  4 39 12 36 19 25 49  1  0 13 15 33 43 24
 23 32 10 14 26 17 28 44 34 18 20 42  6  7 47 30 16 35 41  5 11 21  8  9
 45 37]",0,5
37,64,4572.372105017471,0.01526891599999658,"[27  3 40 38 47 22 30  7 46 31 23 39 12 49 19 25 36  1  0 13 15 33 43 24
  4 44 10 14 26 17 28 32 34 18 41 42  6 29 37 48 16 35 20  5 11 21  8  9
 45  2]",0,5
38,128,3895.696879394423,0.02909096700000191,"[11  3 47 38 40 48 30 17 46 31 19 39 12 49 21 25 36 14  0 13 15 33 23 28
  4  7 10 42 26  2 18 32 34 24 41 44  6 29 37 22 16 35 43  5 27 20  8  9
 45  1]",0,5
39,256,3430.5970217384106,0.05700149000000465,"[11 48 47 38  5  3 30  8 46 31 19 39 12 17 21  1 36 43  0 25 15 33 28 23
 26  7 10 42  6 29 18 32 34 24 16  4 44  2 37 35 41 22 14 40 27 20 49  9
 45 13]",0,5
40,512,2967.3496784773392,0.11424567699999955,"[45 48 47 38  5  3 46  9  8 31 19 12 39 41 21  1  7 43 22 25 13 10 28 23
 35 36 37 14  6 29 18 32 34 24 16  4 44  2 30 17 26  0 11 40 27 20 49 33
 15 42]",0,5
41,1024,2470.891538324227,0.24612169200000267,"[45 15  3 38  5 11 46  9 47 19 31 12 39 41 21  7 23 28  1 48 42 10 30  2
 24 36 22 44 35 29 18 32 34  6 16  4 14 43 17 37 26 33  8  0 27 20 49 40
 25 13]",0,5
42,2048,2179.1572363630635,0.5672466900000046,"[47 15  3 38  5 11 46 25  9 19 31 27 39 21 14 28 17 33 13 45 42 10 37 30
 24 36 22 44  4 29 18 32 34 16  6 35 43 41 23  2  7 26  8  0 49 20 12 40
  1 48]",0,5
43,4096,1957.9648232316686,1.440877436000008,"[47 15  3 38  5 11 40 25  9 19 31  1  8 21 14  0 26 33 13 45 42 10 37 30
 43 41 22 44  4 29 16 18 32 34  6 35 36 24 23  2 28 17  7 39 49 20 12 27
 46 48]",0,5
44,8192,1808.8333760381354,4.070847977,"[47 15  3 38  5 11 31 19 46 25  9  1  8  0 14  7 26 33 13 45 48 10 37 30
 43 41 22 44  4 29 16 18 32 34  6 35 36 24 23  2 28 17 21 39 49 20 12 27
 40 42]",0,5
45,0,6347.556122957413,4.080660594000008,"[ 5  7 32 40  6 49 31 46 12 41 24 11 35 28  1 42  4 45 16 37 39  0 20 21
 18  3  8 17 34 14 25 29 38 36 33 30 26 48 13 43 10 27 47 23 44 22 15 19
  2  9]",1,5
46,1,6347.556122957413,4.081060643000001,"[ 5  7 32 40  6 49 31 46 12 41 24 11 35 28  1 42  4 45 16 37 39  0 20 21
 18  3  8 17 34 14 25 29 38 36 33 30 26 48 13 43 10 27 47 23 44 22 15 19
  2  9]",1,5
47,2,6334.392720209023,4.081506543000003,"[ 5  7 32 40  6 49 31 46 12 41 24 11 35 28  1 42  4 45 16 37 39  0 20 21
 18  3  8 17 34 14 25 36 38 29 33 30 26 48 13 43 10 27 47 23 44 22 15 19
  2  9]",1,5
48,4,6334.392720209023,4.082041990999997,"[ 5  7 32 40  6 49 31 46 12 41 24 11 35 28  1 42  4 45 16 37 39  0 20 21
 18  3  8 17 34 14 25 36 38 29 33 30 26 48 13 43 10 27 47 23 44 22 15 19
  2  9]",1,5
49,8,6174.248753274093,4.083140598,"[ 5  7 32 40  6 49 31 46 12 41 44 11 39 28  1 42  4 45 16 37 35 30 20 21
 18  3  8 17 34 14 25 36 38 29 33  0 26 48 13 43 10 27 47 23 24 22 15 19
  2  9]",1,5
50,16,5778.137006119072,4.085190486000002,"[28  7 32 30  6 49 31 46 12 41 44 11 39  5  1 42  4 45 16 37 27 40 20 21
 18  3  8 17 34  2 25 36 38 29 33  0 26 48 13 43 10 35 47 23 24 22 15 19
 14  9]",1,5
51,32,5118.84538261921,4.0886996070000095,"[29  7 32 30 20 49 31 46 12 41 44 11 39  5  1 42  3 45 17 10 27 40 28 21
 18  4 35  9 34  2 25 36 38  6 33  0 26 48 13 43 37  8 47 23 24 22 15 19
 14 16]",1,5
52,64,4412.635194336436,4.095665026000006,"[29  4 32 30 20 49 31 39 12 41 44 11 27  5  1 42  3 45 17 10 46 40 15 47
 18 23 35  9 37  2 25 19 38  6 33  0 26 48 13 43 34  8 28  7 24 22 21 36
 14 16]",1,5
53,128,3695.28038634026,4.108656310000001,"[29  4 32 28 20 49 24 39 12 41 44 11 27  5  1 42  3 45  8  2 25 40 15 47
  9 23 35  6 37 10 33 19 38 46 31  0 13 48 26 43 14 17 30  7 34 22 21 18
 36 16]",1,5
54,256,2967.635996463,4.135345540000003,"[29 16 34 36 20 49 22 39 12 44 41 11 27  5 25 42  3 13 26 10  1 40 15 45
  9 30 32  6 37  2 33  0 38 46 31 19 47 48  8 43 14 17 23 28  7 21  4 18
 35 24]",1,5
