Iteration,Fitness,Time,State,schedule_type,schedule_init_temp,schedule_decay,schedule_min_temp,schedule_current_value,Temperature,max_iters,run_number
64,5.0,0.01911667399999928,"[1, 1, 1, 1, 1]",geometric,10,0.99,0.001,9.998078894614913,10,8192,1
128,2.0,0.024625487999998086,"[1, 1, 0, 1, 0]",geometric,10,0.99,0.001,9.997525361992622,10,8192,1
256,8.0,0.034395553999999606,"[1, 1, 0, 0, 0]",geometric,10,0.99,0.001,9.996543728732544,10,8192,1
512,8.0,0.05302626599999982,"[1, 1, 0, 0, 0]",geometric,10,0.99,0.001,9.994672102005618,10,8192,1
1024,8.0,0.09579809399999917,"[1, 1, 0, 0, 0]",geometric,10,0.99,0.001,9.990376603272855,10,8192,1
2048,8.0,0.20797180199999943,"[1, 1, 0, 0, 0]",geometric,10,0.99,0.001,9.979119964603898,10,8192,1
4096,8.0,0.5344090900000005,"[1, 1, 1, 0, 0]",geometric,10,0.99,0.001,9.946434071449476,10,8192,1
8192,8.0,1.6594957479999977,"[1, 1, 0, 0, 0]",geometric,10,0.99,0.001,9.834598263583073,10,8192,1
0,2.0,0.00013338599999812573,"[0, 1, 1, 0, 0]",geometric,10,0.99,0.001,9.999986594268005,10,8192,2
1,1.0,0.0005834059999969554,"[0, 1, 1, 1, 0]",geometric,10,0.99,0.001,9.999941365909509,10,8192,2
2,4.0,0.002643266999999838,"[1, 1, 1, 1, 0]",geometric,10,0.99,0.001,9.999734346317652,10,8192,2
4,8.0,0.005630396999997345,"[1, 1, 0, 0, 0]",geometric,10,0.99,0.001,9.999434142201972,10,8192,2
8,4.0,0.008109027999999796,"[1, 1, 1, 1, 0]",geometric,10,0.99,0.001,9.999185048660634,10,8192,2
16,0.0,0.010858403999996824,"[0, 1, 0, 1, 1]",geometric,10,0.99,0.001,9.99890875347495,10,8192,2
32,2.0,0.013664338999998193,"[1, 1, 0, 1, 0]",geometric,10,0.99,0.001,9.998626782333309,10,8192,2
64,3.0,0.017465482999998727,"[1, 1, 1, 0, 1]",geometric,10,0.99,0.001,9.998244814351922,10,8192,2
128,8.0,0.02342656799999787,"[1, 1, 1, 0, 0]",geometric,10,0.99,0.001,9.997645828386748,10,8192,2
256,5.0,0.03228318799999741,"[0, 0, 0, 0, 0]",geometric,10,0.99,0.001,9.9967559574862,10,8192,2
512,8.0,0.05297833899999915,"[1, 1, 1, 0, 0]",geometric,10,0.99,0.001,9.994676916264886,10,8192,2
1024,8.0,0.09994259999999855,"[1, 1, 0, 0, 0]",geometric,10,0.99,0.001,9.989960476016925,10,8192,2
2048,8.0,0.20747079299999882,"[1, 1, 0, 0, 0]",geometric,10,0.99,0.001,9.979170212680138,10,8192,2
4096,8.0,0.5438334179999984,"[1, 1, 0, 0, 0]",geometric,10,0.99,0.001,9.94549201308852,10,8192,2
8192,8.0,1.6332216669999973,"[1, 1, 0, 0, 0]",geometric,10,0.99,0.001,9.837195563342046,10,8192,2
0,1.0,8.759299999994141e-05,"[0, 0, 1, 1, 0]",geometric,10,0.99,0.001,9.999991196613191,10,8192,3
1,1.0,0.0004106919999991021,"[1, 0, 1, 1, 0]",geometric,10,0.99,0.001,9.999958724159862,10,8192,3
2,2.0,0.0024436730000019224,"[1, 0, 1, 0, 0]",geometric,10,0.99,0.001,9.999754405672217,10,8192,3
4,1.0,0.0045086890000014535,"[1, 0, 0, 1, 0]",geometric,10,0.99,0.001,9.999546871879474,10,8192,3
8,1.0,0.007515464000000804,"[1, 0, 0, 1, 0]",geometric,10,0.99,0.001,9.999244699152456,10,8192,3
