Iteration,Fitness,Time,State,Restarts,max_iters,current_restart,run_number
8,80.0,1.8181075600000014,"[1, 4, 4, 2, 4]",1,8192,1,3
16,82.0,1.880755108999999,"[1, 4, 4, 3, 4]",1,8192,1,3
32,82.0,1.9672271300000013,"[1, 4, 4, 3, 4]",1,8192,1,3
64,82.0,2.0455307739999995,"[1, 4, 4, 3, 4]",1,8192,1,3
128,82.0,2.1526119930000007,"[1, 4, 4, 3, 4]",1,8192,1,3
256,82.0,2.293862735000001,"[1, 4, 4, 3, 4]",1,8192,1,3
512,82.0,2.5122755109999986,"[1, 4, 4, 3, 4]",1,8192,1,3
1024,82.0,2.9070934490000013,"[1, 4, 4, 3, 4]",1,8192,1,3
2048,82.0,3.6123593539999987,"[1, 4, 4, 3, 4]",1,8192,1,3
4096,82.0,5.041368207000001,"[1, 4, 4, 3, 4]",1,8192,1,3
8192,82.0,5.776672264999998,"[1, 4, 4, 3, 4]",1,8192,1,3
0,20.0,0.000135175000000487,"[2, 1, 0, 0, 2]",1,8192,0,4
1,40.0,0.0006180749999984414,"[2, 3, 0, 0, 2]",1,8192,0,4
2,42.0,0.006226793999999813,"[2, 3, 0, 0, 4]",1,8192,0,4
4,42.0,0.012075903999999582,"[2, 3, 0, 0, 4]",1,8192,0,4
8,51.0,0.020096897999998475,"[2, 3, 1, 1, 4]",1,8192,0,4
16,55.0,0.028932253999997215,"[3, 3, 1, 1, 4]",1,8192,0,4
32,55.0,0.03782799899999745,"[3, 3, 1, 1, 4]",1,8192,0,4
64,55.0,0.05066081300000036,"[3, 3, 1, 1, 4]",1,8192,0,4
128,55.0,0.06343245799999764,"[3, 3, 1, 1, 4]",1,8192,0,4
256,55.0,0.08458009799999999,"[3, 3, 1, 1, 4]",1,8192,0,4
512,55.0,0.1273756259999992,"[3, 3, 1, 1, 4]",1,8192,0,4
1024,55.0,0.22941601399999811,"[3, 3, 1, 1, 4]",1,8192,0,4
2048,55.0,0.4549714929999986,"[3, 3, 1, 1, 4]",1,8192,0,4
4096,55.0,1.1959953719999987,"[3, 3, 1, 1, 4]",1,8192,0,4
8192,55.0,1.9609783059999977,"[3, 3, 1, 1, 4]",1,8192,0,4
0,46.0,2.0344641109999984,"[1, 4, 0, 0, 2]",1,8192,1,4
1,48.0,2.035220788,"[1, 4, 0, 0, 4]",1,8192,1,4
2,56.0,2.1372177459999975,"[1, 4, 0, 4, 4]",1,8192,1,4
4,56.0,2.2133513779999987,"[1, 4, 0, 4, 4]",1,8192,1,4
8,77.0,2.3371835149999995,"[1, 4, 3, 4, 4]",1,8192,1,4
16,77.0,2.479100501999998,"[1, 4, 3, 4, 4]",1,8192,1,4
32,77.0,2.590630567999998,"[1, 4, 3, 4, 4]",1,8192,1,4
64,77.0,2.6910774549999985,"[1, 4, 3, 4, 4]",1,8192,1,4
128,77.0,2.8001669289999995,"[1, 4, 3, 4, 4]",1,8192,1,4
256,77.0,2.9333115099999993,"[1, 4, 3, 4, 4]",1,8192,1,4
512,77.0,3.1492910469999984,"[1, 4, 3, 4, 4]",1,8192,1,4
1024,77.0,3.5211985699999993,"[1, 4, 3, 4, 4]",1,8192,1,4
2048,77.0,4.193132197999997,"[1, 4, 3, 4, 4]",1,8192,1,4
4096,77.0,5.943958709,"[1, 4, 3, 4, 4]",1,8192,1,4
8192,77.0,6.772820386999999,"[1, 4, 3, 4, 4]",1,8192,1,4
