Iteration,Fitness,Time,State,Restarts,max_iters,current_restart,run_number
8,4.0,1.328863200999999,"[0, 1, 0, 1, 0]",1,8192,1,4
16,4.0,1.328863200999999,"[0, 1, 0, 1, 0]",1,8192,1,4
32,4.0,1.328863200999999,"[0, 1, 0, 1, 0]",1,8192,1,4
64,4.0,1.328863200999999,"[0, 1, 0, 1, 0]",1,8192,1,4
128,4.0,1.328863200999999,"[0, 1, 0, 1, 0]",1,8192,1,4
256,4.0,1.328863200999999,"[0, 1, 0, 1, 0]",1,8192,1,4
512,4.0,1.328863200999999,"[0, 1, 0, 1, 0]",1,8192,1,4
1024,4.0,1.328863200999999,"[0, 1, 0, 1, 0]",1,8192,1,4
2048,4.0,1.328863200999999,"[0, 1, 0, 1, 0]",1,8192,1,4
4096,4.0,1.328863200999999,"[0, 1, 0, 1, 0]",1,8192,1,4
8192,4.0,1.328863200999999,"[0, 1, 0, 1, 0]",1,8192,1,4
