Iteration,Fitness,Time,State,schedule,Temperature,run_number
16,507.0,0.009546497999991743,"[2 2 3 3 3 1 3 2 4 0 0 2 0 2 4 1 1 0 1 4 4 1 3 4 2 3 0 1 3 3 3 0 1 1 1 0 2
 4 4 3 2 2 2 0 0 4 0 3 1 1]",50,50,0
32,554.0,0.01270167699999547,"[2 2 3 2 3 3 3 2 4 4 0 2 0 0 4 1 1 0 1 4 1 1 4 3 2 3 0 1 3 3 3 0 1 1 2 0 3
 4 4 3 4 2 2 0 0 4 0 3 1 1]",50,50,0
64,670.0,0.02124872299999936,"[2 2 3 3 3 4 1 0 4 4 0 2 3 0 4 4 1 0 4 1 1 1 4 3 4 3 3 1 3 1 3 1 1 1 2 3 4
 4 4 3 3 3 2 0 1 4 0 3 0 1]",50,50,0
128,844.0,0.039596236999997814,"[0 2 1 2 2 2 1 3 4 4 4 2 3 0 4 4 2 0 2 4 3 4 0 3 4 4 3 2 4 4 1 2 4 2 4 4 4
 4 4 4 4 3 3 2 4 2 4 4 1 2]",50,50,0
256,878.0,0.07312194499999691,"[0 1 1 3 3 1 3 4 4 3 3 2 0 2 4 3 3 2 2 4 3 4 3 4 2 4 3 3 3 3 4 2 4 2 4 2 4
 4 4 4 4 3 4 3 4 4 4 4 3 4]",50,50,0
512,970.0,0.15192560699999547,"[0 4 4 3 3 1 2 3 4 3 4 2 0 1 4 4 4 1 2 4 4 4 1 3 2 4 4 3 4 2 4 2 4 2 4 4 4
 4 4 4 4 3 4 4 4 4 4 4 4 4]",50,50,0
1024,975.0,0.4341209259999914,"[0 4 4 3 3 1 2 3 4 4 4 2 0 1 4 4 4 1 2 4 4 4 1 3 2 4 4 3 4 2 4 2 4 2 4 4 4
 4 4 4 4 3 4 4 4 4 4 4 4 4]",50,50,0
2048,975.0,0.9716820469999874,"[0 4 4 3 3 1 2 3 4 4 4 2 0 1 4 4 4 1 2 4 4 4 1 3 2 4 4 3 4 2 4 2 4 2 4 4 4
 4 4 4 4 3 4 4 4 4 4 4 4 4]",50,50,0
4096,975.0,2.7078451849999965,"[0 4 4 3 3 1 2 3 4 4 4 2 0 1 4 4 4 1 2 4 4 4 1 3 2 4 4 3 4 2 4 2 4 2 4 4 4
 4 4 4 4 3 4 4 4 4 4 4 4 4]",50,50,0
8192,975.0,4.353978947999991,"[0 4 4 3 3 1 2 3 4 4 4 2 0 1 4 4 4 1 2 4 4 4 1 3 2 4 4 3 4 2 4 2 4 2 4 4 4
 4 4 4 4 3 4 4 4 4 4 4 4 4]",50,50,0
0,535.0,0.00033555699999965327,"[4 0 3 3 3 1 3 2 4 0 0 4 2 1 0 1 1 0 1 4 3 0 3 0 2 3 0 1 3 3 3 0 1 1 1 0 2
 4 3 3 2 4 2 0 0 4 0 4 1 4]",100,100,0
1,517.0,0.0013086229999998977,"[4 0 3 3 3 1 3 2 4 0 0 4 2 1 0 1 1 0 1 4 3 0 3 0 2 3 0 1 3 3 3 0 1 1 1 0 2
 4 3 3 2 2 2 0 0 4 0 4 1 4]",100,100,0
2,531.0,0.0020939070000025595,"[4 2 3 3 3 1 3 2 4 0 0 4 2 1 0 1 1 0 1 4 3 0 3 0 2 3 0 1 3 3 3 0 1 1 1 0 2
 4 3 3 2 2 2 0 0 4 0 4 1 4]",100,100,0
4,535.0,0.0031193460000054074,"[4 2 3 3 3 1 3 2 4 0 0 4 2 1 0 1 1 0 1 4 3 0 3 0 2 3 0 1 3 3 3 0 1 1 1 0 2
 4 4 3 2 2 2 0 0 4 0 4 1 4]",100,100,0
8,507.0,0.004678671000007739,"[2 2 3 3 3 1 3 2 4 0 0 2 1 1 0 1 1 0 1 4 3 0 3 0 2 3 0 1 3 3 3 0 1 1 1 0 2
 4 4 3 2 2 2 0 0 4 0 4 1 4]",100,100,0
16,507.0,0.007562499000002276,"[2 2 3 3 3 1 3 2 4 0 0 2 0 2 4 1 1 0 1 4 4 1 3 4 2 3 0 1 3 3 3 0 1 1 1 0 2
 4 4 3 2 2 2 0 0 4 0 3 1 1]",100,100,0
32,579.0,0.012434107000004246,"[3 2 3 2 3 3 3 2 4 4 0 2 0 0 4 1 1 0 1 4 1 1 4 3 2 3 0 1 3 3 3 0 1 1 2 0 3
 4 4 3 2 2 2 3 0 4 0 3 1 1]",100,100,0
64,620.0,0.01999671800000158,"[3 2 3 3 3 4 1 0 3 4 0 0 3 0 4 4 0 0 4 1 1 1 4 3 4 0 3 1 3 1 3 0 1 1 2 3 4
 4 4 3 3 3 2 0 1 3 0 3 1 1]",100,100,0
128,735.0,0.040829444999999964,"[0 2 1 2 2 2 1 3 2 2 0 1 3 2 4 4 2 0 2 4 3 4 0 1 4 4 3 4 3 4 1 2 3 2 4 2 4
 4 4 4 4 2 3 2 1 4 4 4 1 2]",100,100,0
256,860.0,0.07904021800000294,"[0 1 1 3 3 1 3 1 4 4 3 1 1 1 4 3 3 4 2 4 2 3 3 0 2 4 4 3 4 3 4 1 3 2 4 3 4
 4 4 4 1 3 4 4 1 4 1 4 4 4]",100,100,0
512,975.0,0.16980335700000637,"[4 4 4 3 3 1 4 3 4 3 2 1 4 2 4 4 4 4 4 4 2 2 3 0 4 4 4 3 4 1 4 1 4 4 4 4 4
 3 1 3 0 3 4 4 4 4 1 4 4 4]",100,100,0
1024,988.0,0.4395111190000023,"[4 4 4 3 3 1 4 3 4 4 2 1 4 2 4 4 4 4 4 4 4 2 3 0 4 4 4 3 4 1 4 1 4 4 4 4 4
 3 1 4 0 3 4 4 4 4 1 4 4 4]",100,100,0
2048,988.0,0.9597303890000006,"[4 4 4 3 3 1 4 3 4 4 2 1 4 2 4 4 4 4 4 4 4 2 3 0 4 4 4 3 4 1 4 1 4 4 4 4 4
 3 1 4 0 3 4 4 4 4 1 4 4 4]",100,100,0
4096,988.0,2.7325220380000133,"[4 4 4 3 3 1 4 3 4 4 2 1 4 2 4 4 4 4 4 4 4 2 3 0 4 4 4 3 4 1 4 1 4 4 4 4 4
 3 1 4 0 3 4 4 4 4 1 4 4 4]",100,100,0
8192,988.0,4.780028864000002,"[4 4 4 3 3 1 4 3 4 4 2 1 4 2 4 4 4 4 4 4 4 2 3 0 4 4 4 3 4 1 4 1 4 4 4 4 4
 3 1 4 0 3 4 4 4 4 1 4 4 4]",100,100,0
0,535.0,0.0003441759999986971,"[4 0 3 3 3 1 3 2 4 0 0 4 2 1 0 1 1 0 1 4 3 0 3 0 2 3 0 1 3 3 3 0 1 1 1 0 2
 4 3 3 2 4 2 0 0 4 0 4 1 4]",150,150,0
1,517.0,0.0013284770000012713,"[4 0 3 3 3 1 3 2 4 0 0 4 2 1 0 1 1 0 1 4 3 0 3 0 2 3 0 1 3 3 3 0 1 1 1 0 2
 4 3 3 2 2 2 0 0 4 0 4 1 4]",150,150,0
2,531.0,0.002231194000003711,"[4 2 3 3 3 1 3 2 4 0 0 4 2 1 0 1 1 0 1 4 3 0 3 0 2 3 0 1 3 3 3 0 1 1 1 0 2
 4 3 3 2 2 2 0 0 4 0 4 1 4]",150,150,0
