,Iteration,Fitness,Time,State,current_restart,Restarts
32,2,22.0,0.001044547000001117,"[0 1 1 0 0 1 0 1 0 1 0 1 0 1 1 1 1 1 0 0 0 0 1 1 1 0 0 0 1 1 1 0 0 1 0 0 1
 1 1 0 0 0 0 1 1 1 1 0 0 0]",0,10
33,4,24.0,0.0016340350000003667,"[0 1 1 0 0 1 0 1 0 1 0 1 0 1 1 1 1 1 0 0 0 0 1 1 1 0 1 0 1 1 1 0 0 1 0 0 1
 1 1 0 0 0 0 1 1 1 1 0 0 0]",0,10
34,8,27.0,0.0026852500000007495,"[0 1 1 0 0 1 0 1 0 1 0 1 0 1 1 0 1 1 0 0 0 0 1 1 1 0 1 0 1 1 1 0 0 1 0 0 1
 1 1 0 0 0 0 1 1 1 1 0 0 1]",0,10
35,16,31.0,0.004382413000000085,"[0 1 1 0 0 1 0 1 0 1 0 1 0 1 1 0 1 1 0 0 0 0 1 1 1 0 1 0 1 1 1 0 0 1 0 0 1
 1 1 0 0 1 0 1 1 0 1 0 0 1]",0,10
36,32,35.0,0.007312528000001706,"[0 1 1 0 0 1 0 1 0 1 0 1 0 1 1 0 1 1 0 1 0 0 1 1 1 0 1 0 1 1 1 0 0 1 0 0 1
 0 1 0 0 1 0 1 1 0 1 0 0 1]",0,10
37,64,39.0,0.012950405000001552,"[0 1 1 0 0 1 0 1 0 1 0 1 0 1 1 0 1 1 0 1 0 0 1 0 1 0 1 0 1 0 1 0 0 1 0 0 1
 0 1 0 0 1 0 1 1 0 1 0 0 1]",0,10
38,128,39.0,0.02349574400000165,"[0 1 1 0 0 1 0 1 0 1 0 1 0 1 1 0 1 1 0 1 0 0 1 0 1 0 1 0 1 0 1 0 0 1 0 0 1
 0 1 0 0 1 0 1 1 0 1 0 0 1]",0,10
39,256,39.0,0.04500890599999963,"[0 1 1 0 0 1 0 1 0 1 0 1 0 1 1 0 1 1 0 1 0 0 1 0 1 0 1 0 1 0 1 0 0 1 0 0 1
 0 1 0 0 1 0 1 1 0 1 0 0 1]",0,10
40,512,39.0,0.09433313000000254,"[0 1 1 0 0 1 0 1 0 1 0 1 0 1 1 0 1 1 0 1 0 0 1 0 1 0 1 0 1 0 1 0 0 1 0 0 1
 0 1 0 0 1 0 1 1 0 1 0 0 1]",0,10
41,1024,39.0,0.20578073700000132,"[0 1 1 0 0 1 0 1 0 1 0 1 0 1 1 0 1 1 0 1 0 0 1 0 1 0 1 0 1 0 1 0 0 1 0 0 1
 0 1 0 0 1 0 1 1 0 1 0 0 1]",0,10
42,2048,39.0,0.48732628000000133,"[0 1 1 0 0 1 0 1 0 1 0 1 0 1 1 0 1 1 0 1 0 0 1 0 1 0 1 0 1 0 1 0 0 1 0 0 1
 0 1 0 0 1 0 1 1 0 1 0 0 1]",0,10
43,4096,39.0,1.2274002360000011,"[0 1 1 0 0 1 0 1 0 1 0 1 0 1 1 0 1 1 0 1 0 0 1 0 1 0 1 0 1 0 1 0 0 1 0 0 1
 0 1 0 0 1 0 1 1 0 1 0 0 1]",0,10
44,8192,39.0,1.6874113950000016,"[0 1 1 0 0 1 0 1 0 1 0 1 0 1 1 0 1 1 0 1 0 0 1 0 1 0 1 0 1 0 1 0 0 1 0 0 1
 0 1 0 0 1 0 1 1 0 1 0 0 1]",0,10
